date,portfolio,benchmark
2018-07-05,24792.967571100122,13658.24795183523
2018-07-06,24894.28919420424,13714.178131274648
2018-07-09,24946.02437138858,13893.682168899788
2018-07-10,25225.366944125773,13973.910055877608
2018-07-11,25175.90653044419,13850.98566988347
2018-07-12,25174.016934614276,13976.843085437573
2018-07-13,25349.581762156606,14029.845711473785
2018-07-16,25395.5626797609,14055.051365802781
2018-07-17,25478.57474258051,14086.190983595514
2018-07-18,25384.70767407595,14130.71432850654
2018-07-19,25359.865639836287,14055.130222460106
2018-07-20,25350.731907367885,14051.552101633964
2018-07-23,25333.67673332351,14043.796768432278
2018-07-24,25414.737723484093,14154.630895534534
2018-07-25,25434.889639962355,14251.1711582652
2018-07-26,25543.69300047977,14314.520434881322
2018-07-27,25650.997310176903,14271.897316365572
2018-07-30,25754.985575099417,14191.018861964816
2018-07-31,25744.08135809588,14251.782297359474
2018-08-01,25633.170335093793,14206.15386401454
2018-08-02,25557.684504001685,14201.858366653008
2018-08-03,25708.979281242802,14278.356990878146
2018-08-06,25768.6224227265,14300.562806534721
2018-08-07,25844.20101339118,14371.627988023865
2018-08-08,25905.86645160881,14346.30404870888
2018-08-09,25880.90679194613,14304.51659171451
2018-08-10,25806.876182621978,14194.557554462295
2018-08-13,25646.59307556386,14124.215225665303
2018-08-14,25785.806742263787,14187.143933442352
2018-08-15,25745.331970629777,14110.034170122943
2018-08-16,26451.29450882589,14332.274135093065
2018-08-17,26483.32344663658,14394.288324691412
2018-08-20,26641.892645362263,14444.402825653078
2018-08-21,26644.41935537201,14480.066844159861
2018-08-22,26520.13247284655,14430.333483708597
2018-08-23,26475.998635515098,14387.368653011103
2018-08-24,26538.610680660575,14462.15652586482
2018-08-27,26634.3871994285,14607.556154428059
2018-08-28,26760.948337144797,14615.619247639585
2018-08-29,26844.2895922339,14649.573610006297
2018-08-30,26766.779649481647,14572.38499002956
2018-08-31,26840.71551094595,14559.992447284598
2018-09-04,26527.311941705153,14553.072775604292
2018-09-05,26600.19724069113,14565.695316933121
2018-09-06,26511.733531526927,14577.403340083243
2018-09-07,26355.310688407793,14532.91832826953
2018-09-10,26181.622830722976,14499.570724071684
2018-09-11,26283.442132283453,14563.491711453416
2018-09-12,26410.730877254937,14579.114091454665
2018-09-13,26552.950540802638,14661.585012240854
2018-09-14,26641.418236880258,14666.452220367995
2018-09-17,26480.998516366737,14614.55358753434
2018-09-18,26695.320186071192,14718.20518743187
2018-09-19,26891.85030456674,14807.25297248527
2018-09-20,27117.39382380824,14948.12710510311
2018-09-21,27433.282755819113,14996.643663522585
2018-09-24,27256.698463477056,14894.894480483032
2018-09-25,27277.211987211234,14855.731197807434
2018-09-26,27184.97459260773,14795.7683765309
2018-09-27,27250.15660295097,14826.414044984
2018-09-28,27348.83174386248,14836.721267235245
2018-10-01,27616.767534571612,14944.891791690063
2018-10-02,27587.624485262713,15013.712844139489
2018-10-03,27471.954107277452,15044.246798994709
2018-10-04,27195.177166809644,14931.584730766397
2018-10-05,27005.785966184623,14830.40725849245
2018-10-08,26839.34385833588,14852.685359418238
2018-10-09,26940.86096814424,14821.16569634645
2018-10-10,26033.75989255334,14354.7099493335
2018-10-11,25510.122831954355,14048.586215133448
2018-10-12,26094.410979238568,14209.613699854695
2018-10-15,25883.194459627615,14159.459770564365
2018-10-16,26592.907054936368,14466.682021810218
2018-10-17,26366.767770531675,14415.237909987534
2018-10-18,26051.248912375893,14231.740658853943
2018-10-19,26028.540412886934,14268.128625284227
2018-10-22,26130.808849175548,14196.951730197205
2018-10-23,26018.7560768489,14126.307117547129
2018-10-24,25243.170704300923,13785.36050251843
2018-10-25,25724.7645520804,14010.298022307892
2018-10-26,25474.02911225099,13844.178807032393
2018-10-29,25119.169150530266,13706.573939999502
2018-10-30,25139.00759393903,13948.664973219951
2018-10-31,25500.231431398635,14083.874569286581
2018-11-01,25612.221556894317,14232.464606777445
2018-11-02,25395.401197906576,14170.831557689506
2018-11-05,25762.803588447026,14277.86304153851
2018-11-06,26128.471705245243,14375.048395535354
2018-11-07,26996.844414248204,14680.824941396908
2018-11-08,26907.223821619882,14686.9483798845
2018-11-09,26503.756533959644,14573.720077047334
2018-11-12,26017.253260609497,14236.075584544138
2018-11-13,25935.739956263154,14179.613122667773
2018-11-14,25668.519527557182,14064.102357693577
2018-11-15,26264.726258855746,14181.171636881303
2018-11-16,26412.720215002646,14250.678304156918
2018-11-19,26046.68836962091,14028.74062303988
2018-11-20,25567.11841705542,13719.314766314319
2018-11-21,25621.690038293877,13718.781388646023
2018-11-23,25473.35160523514,13618.551291491334
2018-11-26,25930.73893170672,13817.222973003314
2018-11-27,26177.572482412084,13878.059788898538
2018-11-28,27000.8591016648,14224.43984666323
2018-11-29,26973.646626389665,14208.968608588519
2018-11-30,27531.156140822648,14320.907824124683
2018-12-03,27764.963947575503,14482.388734625552
2018-12-04,26725.68200855834,14034.141208835317
2018-12-06,26640.62102491247,13989.616768692942
2018-12-07,26044.65999286813,13676.309412056811
2018-12-10,25920.496762347957,13695.549341212865
2018-12-11,25709.54676343222,13665.818190938473
2018-12-12,25875.980631233477,13753.873696387192
2018-12-13,25861.896074654105,13793.189216220682
2018-12-14,25412.73647262653,13514.56455080017
2018-12-17,24924.23137196671,13229.9632078932
2018-12-18,24988.830091783824,13276.315589161633
2018-12-19,24679.85591740275,13078.939566338766
2018-12-20,24364.822181278752,12818.713692396172
2018-12-21,23837.688742512273,12586.430455930573
2018-12-24,23133.105257272196,12220.15990158689
2018-12-26,24132.40927674613,12829.283770171833
2018-12-27,24446.32921784708,12975.289061672587
2018-12-28,24302.579806903286,12932.435944572971
2018-12-31,24636.98868053896,13081.070886549256
2019-01-02,24708.493676655133,13091.601535996258
2019-01-03,23648.183555363496,12721.490005302014
2019-01-04,24620.85022225498,13140.34261684284
2019-01-07,24713.827248618763,13195.403182588976
2019-01-08,24931.876596494487,13339.013203123468
2019-01-09,25124.19330210358,13390.41788661749
2019-01-10,25131.17992224003,13459.279462626928
2019-01-11,25086.44619503231,13455.931340384652
2019-01-14,24951.399843347765,13407.644780549042
2019-01-15,25377.056330329193,13494.982909462371
2019-01-16,25934.362676383527,13574.369658762052
2019-01-17,26110.22499293372,13665.739334281147
2019-01-18,26481.51185531511,13854.294363797084
2019-01-22,26048.452231239553,13685.018691765865
2019-01-23,26618.574296750856,13780.986148499573
2019-01-24,26583.325172290468,13768.436987671308
2019-01-25,26994.963439978554,13871.59354299785
2019-01-28,26786.959540224936,13754.407074055493
2019-01-29,26681.173016390807,13783.420847794494
2019-01-30,27325.0599135569,14027.293822424228
2019-01-31,27207.739001216774,14018.776208201729
2019-02-01,27079.64377335718,14054.788510278362
2019-02-04,27379.409479320093,14153.189571075642
2019-02-05,27663.77168109126,14249.724357649551
2019-02-06,27574.953445063984,14237.825764244222
